sample_id,answer_first,reason
2,TRUE,"line1 bare ""3"" alone, then only #### loop; no counting anywhere"
158,TRUE,"line1 bare ""9"", then Explanation reasons and even revises to 8"
46,TRUE,"line1 bare ""7"" alone, then #### loop; no working"
108,TRUE,"line1 bare ""7"", then post-hoc justification of that 7"
160,TRUE,"line1 bare ""6"" alone, then #### loop"
127,TRUE,"line1 bare ""8"", then Explanation restates the rule"
228,TRUE,"line1 bare ""8"" alone, then #### loop"
113,TRUE,"line1 bare ""8"", then Explanation lists instruments after"
148,TRUE,"line1 bare ""2"", then marker/answer loop"
99,TRUE,"line1 bare ""2"", then Explanation reasons about categories"
115,TRUE,"line1 bare ""2"", then loop"
208,TRUE,"line1 bare ""9"" alone, then #### loop"
100,TRUE,"line1 bare ""8"" alone, then #### loop"
196,TRUE,"line1 bare ""5"" alone, then #### loop"
39,FALSE,"opens with ""To find the number of animals, we need to count...""; working precedes any candidate"
104,TRUE,"line1 bare ""7"", then Explanation enumerates after"
149,TRUE,"line1 bare ""9"" alone, then #### loop"
216,TRUE,"line1 bare ""11"", then Explanation counts after"
78,TRUE,"line1 bare ""10"", then Explanation enumerates after"
246,TRUE,"line1 bare ""7"", then Explanation then loop"
199,TRUE,"line1 bare ""9"", then Explanation counts and lands on 8"
143,TRUE,"line1 bare ""9"" alone, then #### loop"
52,TRUE,"line1 bare ""7"", then Explanation enumerates after"
202,TRUE,"line1 bare ""3"", then Explanation counts after"
134,TRUE,"line1 bare ""2"", then Explanation reasons after"
1,TRUE,"line1 bare ""11"", then Explanation counts after"
28,TRUE,"line1 bare ""4"" alone, then #### loop"
12,TRUE,"line1 bare ""6"", then Explanation counts after"
98,TRUE,"line1 bare ""1"", then Explanation reasons after"
15,TRUE,"line1 bare ""4"", then Explanation counts after"
